iteration,epoch,reward_mean,reward_std,reward_min,reward_max,wall_s
1,1,0.013916015625,0.008839778803824059,0.0,0.03515625,228.15913820266724
2,1,0.0206298828125,0.011440144175908098,0.0,0.0546875,230.57774257659912
3,1,0.0172119140625,0.012839452725390464,0.0,0.05859375,232.98337578773499
4,1,0.027587890625,0.02194415469186227,0.0,0.109375,223.00166606903076
5,1,0.028564453125,0.01783229597883315,0.0,0.0703125,232.0917329788208
6,1,0.042724609375,0.01744025522430272,0.015625,0.08203125,226.2176661491394
7,1,0.0340576171875,0.021994008180317576,0.00390625,0.09765625,231.6405167579651
8,1,0.0452880859375,0.03358664326570682,0.0078125,0.13671875,237.323100566864
9,1,0.066162109375,0.031703519124024894,0.015625,0.1484375,239.84544777870178
10,1,0.0833740234375,0.045034350688849145,0.01171875,0.203125,236.583975315094
11,1,0.105712890625,0.048099420858850134,0.0390625,0.23046875,237.82709884643555
12,1,0.125244140625,0.05871518584798841,0.046875,0.26171875,237.26931738853455
13,1,0.145751953125,0.04808454819879436,0.05859375,0.25,238.95333123207092
14,1,0.1871337890625,0.05667731313641913,0.08203125,0.3125,225.5205101966858
15,1,0.208251953125,0.07810325319887644,0.05859375,0.33984375,256.4294843673706
16,1,0.2139892578125,0.08114719856559967,0.07421875,0.40625,245.7501266002655
17,1,0.2371826171875,0.05341925750237837,0.13671875,0.34375,236.6392059326172
18,1,0.2728271484375,0.05737759186618703,0.1640625,0.3671875,232.51088857650757
19,1,0.2587890625,0.05590340539594418,0.12890625,0.375,232.73402523994446
20,1,0.3271484375,0.05290589871320913,0.1875,0.4296875,222.38006901741028
21,1,0.3206787109375,0.05173347908795035,0.17578125,0.39453125,236.5410280227661
22,1,0.3299560546875,0.036330019993733226,0.2421875,0.41015625,224.74023914337158
23,1,0.3585205078125,0.042810147353081106,0.265625,0.41796875,219.32867693901062
24,1,0.40234375,0.03989589495276464,0.32421875,0.47265625,217.05836606025696
25,1,0.4000244140625,0.037210227048099696,0.3203125,0.45703125,230.91604375839233
26,1,0.398193359375,0.0361319876911772,0.2890625,0.45703125,215.57100343704224
27,1,0.35205078125,0.029904984370669064,0.2890625,0.43359375,220.5648968219757
28,1,0.4190673828125,0.02895692044294423,0.3515625,0.47265625,212.40925908088684
29,1,0.371337890625,0.025389451219863923,0.31640625,0.42578125,209.71727418899536
30,1,0.4295654296875,0.031996163480969335,0.3515625,0.50390625,212.55650758743286
31,1,0.384521484375,0.028670675891883192,0.32421875,0.4296875,230.54427695274353
32,1,0.4190673828125,0.04194940561184913,0.31640625,0.51953125,209.47052311897278
33,1,0.429443359375,0.023252391979268892,0.359375,0.46484375,216.18958950042725
34,1,0.3720833333333334,0.043251123941722286,0.26666666666666666,0.44,100.96738529205322
35,2,0.4329833984375,0.02117383377754946,0.390625,0.4765625,215.5728259086609
36,2,0.4097900390625,0.027454424719312476,0.33203125,0.46875,210.94601368904114
37,2,0.439697265625,0.020943509278583176,0.390625,0.484375,204.1306974887848
38,2,0.4161376953125,0.0177128187744487,0.36328125,0.4453125,220.5972626209259
39,2,0.4447021484375,0.02188261444536037,0.38671875,0.48046875,219.06212162971497
40,2,0.462646484375,0.013387724483257027,0.44140625,0.48828125,208.84190678596497
41,2,0.45263671875,0.024428706545603494,0.390625,0.49609375,223.1031849384308
42,2,0.4664306640625,0.022007554209489757,0.4140625,0.5078125,216.65697240829468
43,2,0.4482421875,0.027151247606362977,0.40234375,0.51171875,199.3967204093933
44,2,0.41845703125,0.020055227322180517,0.375,0.46484375,208.3921513557434
45,2,0.478515625,0.021595062878414045,0.43359375,0.515625,202.14927077293396
46,2,0.4404296875,0.016744558788556883,0.40625,0.47265625,216.8854923248291
47,2,0.4112548828125,0.021841718696591454,0.36328125,0.453125,206.70584392547607
48,2,0.3795166015625,0.021707589005530863,0.34375,0.4375,228.60178232192993
49,2,0.4461669921875,0.02191799570509253,0.39453125,0.4921875,212.87504649162292
50,2,0.43212890625,0.01922985221437033,0.39453125,0.47265625,433.47178840637207
51,2,0.42822265625,0.01984008755264653,0.390625,0.47265625,229.99980354309082
